Investigation,,,,,,
 Item ID , Item Name ,  OP , Day Care , Economy , Double ," Single/
ICU "
295,Hematopoietic Neoplasm Panel 2 ( BMB & BMA ) - (C),1785,,,,
296,Pap Smear- LBC,9348,,,,
297,Pericardial Fluid Examination,850,,,,
298,Pleural Fluid for Cytology,850,,,,
299,Pleural Fluid for Malignment Cells,750,,,,
300,Pus for Cytology,1100,,,,
301,Smear for cytology,900,850,850,850,850
302,Smear for Cytology - EUS Guided FNAC,900,,,,
303,Smear for Cytology - USG Guided FNAC,900,,,,
304,Sputum for Cytology,600,,,,
305,Synovial Fluid Examination,850,,,,
306,Urine Cytology for Malignant Cells,750,,,,
307,ABSOLUTE BASOPHIL COUNT,120,120,120,120,120
308,ABSOLUTE EOSINOPHIL COUNT,120,120,120,120,120
309,ABSOLUTE LYMPHOCYTE COUNT,120,120,120,120,120
310,ABSOLUTE NEUTROPHIL COUNT,120,120,120,120,120
311,ANTI THROMBIN III ACTIVITY,3250,3250,3250,3250,3250
312,Antithrombin III Activity ( Functional ) - (C),4100,,,,
313,BLEEDING TIME - BT,100,100,100,100,100
314,Bone Marrow Aspiration,950,,,,
315,CBC with PS with Reticulocyte Count,400,,,,
316,"CLL Comprehensive Panel - CLPD Basic , CLL Prognostic Panel",15000,,,,
317,CLOTTING TIME (CT),100,100,100,100,100
318,"Coagulation profile (PT-INR,APTT,PLATELET COUNT)",850,850,850,850,850
319,COMPLETE BLOOD COUNT,350,350,350,350,350
320,COMPLETE BLOOD COUNT   WITH ESR,420,450,450,450,450
321,D- Dimer Quantitative,1090,1090,1090,1090,1090
322,DIFFERENTIAL LEUCOCYTE COUNT (DLC),120,120,120,120,120
323,ERYTHROCYTE SEDIMENTATION RATE - ESR,100,100,100,100,100
324,Factor VIII - Functional,1800,,,,
325,FIBRINOGEN,1000,1100,1100,1100,1100
326,FIBRINOGEN DEGRADATION PRODUCT - FDP,1300,1300,1300,1300,1300
327,Haemoglobin- Free Plasma (M),1000,1000,1000,1000,1000
328,HB HPLC,900,900,900,900,900
329,HbA1c,500,500,500,500,500
330,HEMOGLOBIN (HB),120,150,150,150,150
331,"HEMOGRAM (CBC, ESR & PS)",500,500,500,500,500
332,Hemogram with Reticulocyte Count,650,,,,
333,Immature Platelet Fraction (IPF) - (C),1000,,,,
334,LAP Score (Leukocyte Alkaline Phosphatase),1300,,,,
335,LE Cell Phenomenon,600,600,600,600,600
336,Leukemia Panel Basic,7000,,,,
337,Malarial Parasitic Index,350,350,350,350,350
338,Mixing Study - Coagulation,450,,,,
339,"MPN Panel 5 ( BCR/ABL Qualitative Reflex To JAK 2 ( 12 - 15 ) , MPL , CALR ) - (C)",11500,,,,
340,Multiple Myeloma - Diagnostic Panel - 1,5500,,,,
341,Osmotic Fragility Test RBC Fragility Test (C),850,,,,
342,PACKED CELL VOLUME - PCV,120,120,120,120,120
343,PARTIAL THROMPOPLASTIN TIME - APTT,300,300,300,300,300
344,Peripheral Smear & Bone Marrow Aspirate - (C),875,,,,
345,Peripheral SMEAR FOR MF,250,250,250,250,250
346,Peripheral SMEAR FOR MP,250,250,250,250,250
347,Peripheral smear for toxic granules,400,400,400,400,400
348,PERIPHERAL SMEAR STUDY,240,240,240,240,240
349,PLATELET COUNT,150,150,150,150,150
350,Protein C - Activity  ( C ),5500,,,,
351,Protein S - Activity  (C),4200,,,,
352,Prothrombin Time and INR,310,310,310,310,310
353,RETICULOCYTE COUNT,250,250,250,250,250
354,Thrombin Time - TT,1000,1000,1000,1000,1000
355,Thrombophilia Comprehensive Profile ( L ),17800,,,,
356,Total Leucocyte Count,150,150,150,150,150
357,TOTAL RBC COUNT,150,150,150,150,150
358,"von Willebrand Factor Antigen, vWF Ag - (C)",10000,,,,
359,von Willebrand Factor Ristocetin Cofactor Activity (vWF:RCo) - (C),12500,,,,
360,Addendum Biopsy Report,1,,,,
361,ASCA Antibody,3050,,,,
362,Bone Marrow Biopsy,2200,,,,
363,CA-19.9 IHC (C),2200,2200,2200,2200,2200
364,CD34- Immunohistochemistry - (C),2400,,,,
365,CD4 - Immunohistochemistry - (C),2400,,,,
366,CD8A - Immunohistochemistry - (C),2400,,,,
367,CDX-2 IHC (C),2400,2400,2400,2400,2400
368,CK-20 IHC (C),2400,2400,2400,2400,2400
369,CK-7-IHC (C),2400,2400,2400,2400,2400
