Surgical Procedures Surgeon fee,,,,,,,
Department,Surgery Id,Service Name,Economy,"Double
","Single/
ICU","Classic 
Deluxe",Suite
ENT,ENT124,Endoscopic Optic Nerve Depression,31100,37300,44800,53700,59100
ENT,ENT125,Endoscopic Orbital Decompression,31100,37300,44800,53700,59100
ENT,ENT126,Endoscopic Skull Base repair (Extended),59900,71900,86300,103500,113900
ENT,ENT127,Endoscopic Spheno Ethmoidectomy – Bilateral,22000,26400,31700,38000,41800
ENT,ENT128,Endoscopic Spheno Ethmoidectomy – Unilateral,19000,22800,27400,32800,36100
ENT,ENT129,Endoscopy Adenoidectomy,13000,15600,18700,22500,24800
ENT,ENT130,EUM Suction - Bilateral (ENT),3500,4200,5000,6000,6600
ENT,ENT131,EUM Suction - Unilateral (ENT),3500,4200,5000,6000,6600
ENT,ENT132,Excision of Angiofibroma,34200,41000,49200,59100,65000
ENT,ENT133,Excision of Glomus-jugulare Tumor,43400,52100,62500,75000,82500
ENT,ENT134,Excision of Laryngeal Papillomata (ENT),20000,24000,28800,34600,38100
ENT,ENT135,Excision of Oral/Ranula Cyst,3700,4500,5800,7300,8000
ENT,ENT136,Excission of brachial cyst and sinus (ENT),17000,20400,24500,29400,32300
ENT,ENT137,Excission of Plunging Ranula (ENT),17000,20400,24500,29400,32300
ENT,ENT138,Excission of Thyroglossal Cyst or Sinus (ENT),17000,20400,24500,29400,32300
ENT,ENT139,Exploratory Tympanotomy,20000,24000,28800,34600,38100
ENT,ENT140,Ext. Drainage of Paraphyngeal Abscess (ENT),15000,18000,21600,25900,28500
ENT,ENT141,Facial Nerve Decompression Vertical or / and Tympanic Segment,27900,33500,40200,48200,53000
ENT,ENT142,Facial wound Repair (Major),10000,12000,14400,17300,19000
ENT,ENT143,FESS - Complicated,27900,33500,40200,48200,53000
